case_id,elapsed_hours_so_far,wait_before_reviewed_hours,resource_at_reviewed,hour_of_day_submitted,has_been_reworked_yet,events_seen_so_far,unique_activities_so_far,transition_count_so_far,activity_repetition_count,total_wait_hours_so_far,average_wait_hours_so_far,max_wait_hours_so_far,min_wait_hours_so_far,number_of_long_waits_so_far,time_since_previous_activity,hour_of_day_at_snapshot,day_of_week_submitted,day_of_week_at_snapshot,is_weekend_submitted,resource_at_submitted,total_cycle_hours,late
CASE-0092,5.0336,5.0336,0,8,0,2,2,1,0,5.0336,5.0336,5.0336,5.0336,1,5.0336,13,4,4,0,2,32.7508,0
CASE-0093,4.0356,4.0356,3,16,0,2,2,1,0,4.0356,4.0356,4.0356,4.0356,1,4.0356,20,2,2,0,4,41.53,0
CASE-0094,2.8953,2.8953,2,13,0,2,2,1,0,2.8953,2.8953,2.8953,2.8953,0,2.8953,16,1,1,0,3,28.7436,0
CASE-0095,5.3728,5.3728,3,14,0,2,2,1,0,5.3728,5.3728,5.3728,5.3728,1,5.3728,19,1,1,0,1,30.8642,0
CASE-0096,4.2478,4.2478,0,13,0,2,2,1,0,4.2478,4.2478,4.2478,4.2478,1,4.2478,17,4,4,0,1,44.9064,1
CASE-0097,1.4611,1.4611,1,10,0,2,2,1,0,1.4611,1.4611,1.4611,1.4611,0,1.4611,12,3,3,0,4,45.7392,1
CASE-0098,2.8494,2.8494,1,8,0,2,2,1,0,2.8494,2.8494,2.8494,2.8494,0,2.8494,10,6,6,1,0,36.7547,0
CASE-0099,1.4875,1.4875,2,16,0,2,2,1,0,1.4875,1.4875,1.4875,1.4875,0,1.4875,17,6,6,1,5,32.7089,0
CASE-0100,4.6058,4.6058,5,8,0,2,2,1,0,4.6058,4.6058,4.6058,4.6058,1,4.6058,12,2,2,0,3,28.4589,0
CASE-0101,2.4333,2.4333,4,10,0,2,2,1,0,2.4333,2.4333,2.4333,2.4333,0,2.4333,12,5,5,1,1,38.8122,0
CASE-0102,1.7633,1.7633,0,16,0,2,2,1,0,1.7633,1.7633,1.7633,1.7633,0,1.7633,18,0,0,0,3,42.2281,0
CASE-0103,2.3833,2.3833,2,9,0,2,2,1,0,2.3833,2.3833,2.3833,2.3833,0,2.3833,11,6,6,1,3,43.5069,1
CASE-0104,4.3717,4.3717,1,14,0,2,2,1,0,4.3717,4.3717,4.3717,4.3717,1,4.3717,18,2,2,0,5,39.3958,0
CASE-0105,4.9811,4.9811,5,13,0,2,2,1,0,4.9811,4.9811,4.9811,4.9811,1,4.9811,18,6,6,1,5,28.4597,0
CASE-0106,3.3786,3.3786,0,11,0,2,2,1,0,3.3786,3.3786,3.3786,3.3786,1,3.3786,14,2,2,0,5,32.2572,0
CASE-0107,5.3314,5.3314,4,14,0,2,2,1,0,5.3314,5.3314,5.3314,5.3314,1,5.3314,20,0,0,0,4,39.5244,0
CASE-0108,2.4931,2.4931,2,12,0,2,2,1,0,2.4931,2.4931,2.4931,2.4931,0,2.4931,14,5,5,1,1,42.8994,0
CASE-0109,3.9636,3.9636,0,14,0,2,2,1,0,3.9636,3.9636,3.9636,3.9636,1,3.9636,18,0,0,0,1,41.8319,0
CASE-0110,4.4072,4.4072,4,12,0,2,2,1,0,4.4072,4.4072,4.4072,4.4072,1,4.4072,17,4,4,0,2,28.0694,0
CASE-0111,3.8975,3.8975,4,9,0,2,2,1,0,3.8975,3.8975,3.8975,3.8975,1,3.8975,13,0,0,0,3,43.5811,1
CASE-0112,2.8975,2.8975,0,12,0,2,2,1,0,2.8975,2.8975,2.8975,2.8975,0,2.8975,14,0,0,0,1,37.5928,0
CASE-0113,2.2036,2.2036,5,14,0,2,2,1,0,2.2036,2.2036,2.2036,2.2036,0,2.2036,16,4,4,0,5,36.5322,0
CASE-0114,2.7206,2.7206,3,14,0,2,2,1,0,2.7206,2.7206,2.7206,2.7206,0,2.7206,17,4,4,0,5,27.8264,0
CASE-0115,4.4944,4.4944,3,13,0,2,2,1,0,4.4944,4.4944,4.4944,4.4944,1,4.4944,17,5,5,1,3,39.4456,0
CASE-0116,2.9042,2.9042,5,16,0,2,2,1,0,2.9042,2.9042,2.9042,2.9042,0,2.9042,19,2,2,0,2,41.0075,0
CASE-0117,1.8014,1.8014,5,10,0,2,2,1,0,1.8014,1.8014,1.8014,1.8014,0,1.8014,12,5,5,1,5,52.0917,1
CASE-0118,1.5064,1.5064,5,13,0,2,2,1,0,1.5064,1.5064,1.5064,1.5064,0,1.5064,14,6,6,1,3,29.1875,0
CASE-0119,1.6608,1.6608,2,15,0,2,2,1,0,1.6608,1.6608,1.6608,1.6608,0,1.6608,17,2,2,0,0,27.3719,0
CASE-0120,4.8167,4.8167,4,16,0,2,2,1,0,4.8167,4.8167,4.8167,4.8167,1,4.8167,21,0,0,0,5,45.95,1
CASE-0121,4.0636,4.0636,4,10,0,2,2,1,0,4.0636,4.0636,4.0636,4.0636,1,4.0636,14,6,6,1,1,37.2433,0
CASE-0122,1.5428,1.5428,5,13,0,2,2,1,0,1.5428,1.5428,1.5428,1.5428,0,1.5428,15,6,6,1,4,31.8342,0
CASE-0123,3.3975,3.3975,2,10,0,2,2,1,0,3.3975,3.3975,3.3975,3.3975,1,3.3975,13,1,1,0,0,33.6506,0
CASE-0124,2.9233,2.9233,2,9,0,2,2,1,0,2.9233,2.9233,2.9233,2.9233,0,2.9233,12,1,1,0,4,44.2361,1
CASE-0125,3.9483,3.9483,2,16,0,2,2,1,0,3.9483,3.9483,3.9483,3.9483,1,3.9483,20,1,1,0,5,29.4344,0
CASE-0126,1.7586,1.7586,0,11,0,2,2,1,0,1.7586,1.7586,1.7586,1.7586,0,1.7586,12,6,6,1,1,38.4836,0
CASE-0127,4.5008,4.5008,1,10,0,2,2,1,0,4.5008,4.5008,4.5008,4.5008,1,4.5008,15,5,5,1,5,41.7817,0
CASE-0128,4.2517,4.2517,4,12,0,2,2,1,0,4.2517,4.2517,4.2517,4.2517,1,4.2517,17,0,0,0,5,34.2511,0
CASE-0129,4.3789,4.3789,4,15,0,2,2,1,0,4.3789,4.3789,4.3789,4.3789,1,4.3789,19,0,0,0,2,37.1072,0
CASE-0130,3.2681,3.2681,5,15,0,2,2,1,0,3.2681,3.2681,3.2681,3.2681,1,3.2681,19,1,1,0,2,43.1761,0
CASE-0131,1.8058,1.8058,0,15,0,2,2,1,0,1.8058,1.8058,1.8058,1.8058,0,1.8058,17,1,1,0,4,45.8728,1
CASE-0132,2.6958,2.6958,0,8,0,2,2,1,0,2.6958,2.6958,2.6958,2.6958,0,2.6958,11,6,6,1,4,35.3506,0
CASE-0133,1.7003,1.7003,3,13,0,2,2,1,0,1.7003,1.7003,1.7003,1.7003,0,1.7003,15,6,6,1,1,38.8814,0
CASE-0134,1.9292,1.9292,4,9,0,2,2,1,0,1.9292,1.9292,1.9292,1.9292,0,1.9292,10,0,0,0,2,44.1433,1
CASE-0135,2.2869,2.2869,4,12,0,2,2,1,0,2.2869,2.2869,2.2869,2.2869,0,2.2869,14,0,0,0,0,34.8661,0
CASE-0136,2.165,2.165,4,11,0,2,2,1,0,2.165,2.165,2.165,2.165,0,2.165,13,2,2,0,1,42.7256,0
CASE-0137,2.8117,2.8117,0,16,0,2,2,1,0,2.8117,2.8117,2.8117,2.8117,0,2.8117,19,4,4,0,0,39.8811,0
CASE-0138,3.9128,3.9128,4,11,0,2,2,1,0,3.9128,3.9128,3.9128,3.9128,1,3.9128,15,4,4,0,5,40.2439,0
CASE-0139,3.225,3.225,3,10,0,2,2,1,0,3.225,3.225,3.225,3.225,1,3.225,14,5,5,1,5,37.9289,0
CASE-0140,4.6308,4.6308,0,12,0,2,2,1,0,4.6308,4.6308,4.6308,4.6308,1,4.6308,16,1,1,0,0,34.1192,0
CASE-0141,1.9475,1.9475,0,12,0,2,2,1,0,1.9475,1.9475,1.9475,1.9475,0,1.9475,13,1,1,0,5,51.2103,1
CASE-0142,2.8858,2.8858,4,15,0,2,2,1,0,2.8858,2.8858,2.8858,2.8858,0,2.8858,18,5,5,1,3,31.1683,0
CASE-0143,2.3181,2.3181,2,10,0,2,2,1,0,2.3181,2.3181,2.3181,2.3181,0,2.3181,12,5,5,1,2,45.3369,1
CASE-0144,5.42,5.42,0,14,0,2,2,1,0,5.42,5.42,5.42,5.42,1,5.42,19,5,5,1,5,30.1242,0
CASE-0145,4.7444,4.7444,3,10,0,2,2,1,0,4.7444,4.7444,4.7444,4.7444,1,4.7444,14,0,0,0,1,29.7711,0
CASE-0146,4.2161,4.2161,2,8,0,2,2,1,0,4.2161,4.2161,4.2161,4.2161,1,4.2161,12,5,5,1,1,35.6186,0
CASE-0147,2.0483,2.0483,0,13,0,2,2,1,0,2.0483,2.0483,2.0483,2.0483,0,2.0483,15,5,5,1,2,39.8431,0
CASE-0148,2.1747,2.1747,2,12,0,2,2,1,0,2.1747,2.1747,2.1747,2.1747,0,2.1747,14,1,1,0,3,38.245,0
CASE-0149,2.8136,2.8136,5,10,0,2,2,1,0,2.8136,2.8136,2.8136,2.8136,0,2.8136,13,0,0,0,5,46.3558,1
CASE-0150,3.085,3.085,1,10,0,2,2,1,0,3.085,3.085,3.085,3.085,1,3.085,13,1,1,0,2,40.4314,0
CASE-0151,1.9856,1.9856,0,15,0,2,2,1,0,1.9856,1.9856,1.9856,1.9856,0,1.9856,17,4,4,0,4,44.8692,1
CASE-0152,3.1358,3.1358,4,15,0,2,2,1,0,3.1358,3.1358,3.1358,3.1358,1,3.1358,18,2,2,0,5,39.2289,0
CASE-0153,2.2997,2.2997,2,9,0,2,2,1,0,2.2997,2.2997,2.2997,2.2997,0,2.2997,11,5,5,1,1,46.1678,1
CASE-0154,3.8233,3.8233,2,9,0,2,2,1,0,3.8233,3.8233,3.8233,3.8233,1,3.8233,13,6,6,1,1,29.8775,0
CASE-0155,3.9644,3.9644,4,10,0,2,2,1,0,3.9644,3.9644,3.9644,3.9644,1,3.9644,14,5,5,1,5,32.815,0
CASE-0156,2.1586,2.1586,4,8,0,2,2,1,0,2.1586,2.1586,2.1586,2.1586,0,2.1586,10,2,2,0,4,34.1492,0
CASE-0157,4.5686,4.5686,3,12,0,2,2,1,0,4.5686,4.5686,4.5686,4.5686,1,4.5686,17,2,2,0,1,32.0236,0
CASE-0158,3.5931,3.5931,5,15,0,2,2,1,0,3.5931,3.5931,3.5931,3.5931,1,3.5931,18,1,1,0,2,35.3978,0
CASE-0159,2.0169,2.0169,2,16,0,2,2,1,0,2.0169,2.0169,2.0169,2.0169,0,2.0169,18,2,2,0,2,32.7778,0
CASE-0160,4.7372,4.7372,4,14,0,2,2,1,0,4.7372,4.7372,4.7372,4.7372,1,4.7372,18,6,6,1,1,42.5194,0
CASE-0161,1.56,1.56,4,12,0,2,2,1,0,1.56,1.56,1.56,1.56,0,1.56,14,1,1,0,0,34.1714,0
CASE-0162,3.84,3.84,4,15,0,2,2,1,0,3.84,3.84,3.84,3.84,1,3.84,19,2,2,0,5,25.7225,0
CASE-0163,2.9022,2.9022,4,14,0,2,2,1,0,2.9022,2.9022,2.9022,2.9022,0,2.9022,17,4,4,0,0,28.6394,0
CASE-0164,3.7714,3.7714,1,16,0,2,2,1,0,3.7714,3.7714,3.7714,3.7714,1,3.7714,20,3,3,0,4,47.8194,1
CASE-0165,2.0628,2.0628,3,13,0,2,2,1,0,2.0628,2.0628,2.0628,2.0628,0,2.0628,15,2,2,0,1,33.7958,0
CASE-0166,4.6392,4.6392,2,15,0,2,2,1,0,4.6392,4.6392,4.6392,4.6392,1,4.6392,19,2,2,0,4,46.3217,1
CASE-0167,3.2958,3.2958,4,12,0,2,2,1,0,3.2958,3.2958,3.2958,3.2958,1,3.2958,15,5,5,1,2,36.2922,0
CASE-0168,2.6972,2.6972,5,9,0,2,2,1,0,2.6972,2.6972,2.6972,2.6972,0,2.6972,12,3,3,0,4,43.9936,1
CASE-0169,3.4172,3.4172,4,11,0,2,2,1,0,3.4172,3.4172,3.4172,3.4172,1,3.4172,15,4,4,0,0,38.2556,0
CASE-0170,2.9806,2.9806,1,9,0,2,2,1,0,2.9806,2.9806,2.9806,2.9806,0,2.9806,12,1,1,0,0,34.6639,0
CASE-0171,3.3581,3.3581,2,8,0,2,2,1,0,3.3581,3.3581,3.3581,3.3581,1,3.3581,12,6,6,1,1,46.5778,1
CASE-0172,2.8169,2.8169,5,16,0,2,2,1,0,2.8169,2.8169,2.8169,2.8169,0,2.8169,19,0,0,0,4,39.1561,0
CASE-0173,2.6939,2.6939,2,11,0,2,2,1,0,2.6939,2.6939,2.6939,2.6939,0,2.6939,13,2,2,0,4,43.1794,1
CASE-0174,4.7733,4.7733,1,16,0,2,2,1,0,4.7733,4.7733,4.7733,4.7733,1,4.7733,21,0,0,0,3,32.5319,0
CASE-0175,2.2892,2.2892,4,12,0,2,2,1,0,2.2892,2.2892,2.2892,2.2892,0,2.2892,15,6,6,1,3,43.3978,1
CASE-0176,3.0197,3.0197,3,11,0,2,2,1,0,3.0197,3.0197,3.0197,3.0197,1,3.0197,14,0,0,0,0,26.7347,0
CASE-0177,2.2978,2.2978,2,15,0,2,2,1,0,2.2978,2.2978,2.2978,2.2978,0,2.2978,17,6,6,1,5,45.7225,1
CASE-0178,4.7522,4.7522,3,10,0,2,2,1,0,4.7522,4.7522,4.7522,4.7522,1,4.7522,15,1,1,0,1,45.9267,1
CASE-0179,3.3217,3.3217,2,8,0,2,2,1,0,3.3217,3.3217,3.3217,3.3217,1,3.3217,11,0,0,0,2,32.9103,0
CASE-0180,1.8211,1.8211,2,16,0,2,2,1,0,1.8211,1.8211,1.8211,1.8211,0,1.8211,18,6,6,1,2,27.4167,0
CASE-0181,3.6711,3.6711,1,13,0,2,2,1,0,3.6711,3.6711,3.6711,3.6711,1,3.6711,17,2,2,0,2,32.6525,0
